"TOA5","S2bog","CR1000","34019","CR1000.Std.19","CPU:2020.01.13_S2BogWell.CR1","14464","S2BWMet"
TIMESTAMP,RECORD,AirT,AirTBW,RH,RHBW,PAR_Den,BP,BPnorm,Batt_volt
TS,RN,Deg C,Deg C,%,%,Âµmol/s/mÂ²,kPa,kPa,V DC
,,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
2020-01-12 05:00:00,5116,-17.9,-17.44,77.8,86.9,0.2705225,97.2,102.2,
2020-01-12 05:30:00,5117,-17.6,-17.06,78.5,87.7,0.27053,97.3,102.2,
2020-01-12 06:00:00,5118,-17.3,-16.77,78.3,87.4,0.2705125,97.2,102.2,
2020-01-12 06:30:00,5119,-17.1,-16.52,78.2,87.1,0.2028674,97.3,102.2,
2020-01-12 07:00:00,5120,-16.8,-16.28,78.9,87.2,0.2028647,97.3,102.2,
2020-01-12 07:30:00,5121,-16.5,-16.03,79,87.2,0.2028438,97.3,102.2,
2020-01-12 08:00:00,5122,-16.2,-15.73,79.6,88.2,1.352133,97.3,102.2,
2020-01-12 08:30:00,5123,-15.8,-15.42,79.6,87.8,7.301819,97.2,102.2,
2020-01-12 09:00:00,5124,-15.6,-15,79.7,88.2,15.41352,97.3,102.3,
2020-01-12 09:30:00,5125,-14.9,-14.36,79.5,87,31.16141,97.3,102.3,
2020-01-12 10:00:00,5126,-14.2,-13.57,79,86.9,46.43906,97.3,102.3,
2020-01-12 10:30:00,5127,-13.2,-12.45,77.9,85.2,54.75045,97.2,102.2,
2020-01-12 11:00:00,5128,-11.9,-11.19,76,82.7,73.87568,97.2,102.2,
2020-01-12 11:30:00,5129,-10.8,-10.09,73.8,81.2,78.1942,97.2,102.2,
2020-01-12 12:00:00,5130,-10,-9.3,70.1,78.21,89.59838,97.1,102.1,
2020-01-12 12:30:00,5131,-9.5,-8.88,66.9,75.05,80.32198,97.1,102.1,
2020-01-12 13:00:00,5132,-9.1,-8.65,66.2,74.4,68.55756,97,102,
2020-01-12 13:30:00,5133,-8.9,-8.45,65.2,73.13,69.76685,96.9,101.9,
2020-01-12 14:00:00,5134,-8.6,-8.18,60.9,69.64,64.6993,96.9,101.9,
2020-01-12 14:30:00,5135,-8.7,-8.23,60.1,70.16,51.38783,96.9,101.9,
2020-01-12 15:00:00,5136,-8.7,-8.49,65.4,72.57,31.9376,96.9,101.9,
2020-01-12 15:30:00,5137,-9,-8.69,66.7,75.21,24.44431,96.9,101.9,
2020-01-12 16:00:00,5138,-9.1,-8.84,66.4,76.54,13.03297,97,101.9,
2020-01-12 16:30:00,5139,-9.2,-9.02,66.5,77.17,3.579321,97,102,
2020-01-12 17:00:00,5140,-9.5,-9.24,69.8,80,0.405239,97,102,
2020-01-12 17:30:00,5141,-9.6,-9.34,67,76.94,0.2701551,97,102,
2020-01-12 18:00:00,5142,-9.8,-9.51,71.8,80.4,0.2701773,97,102,
2020-01-12 18:30:00,5143,-9.8,-9.46,69.9,79.21,0.2701922,97,102,
2020-01-12 19:00:00,5144,-9.6,-9.4,72.5,79.8,0.2026442,97,101.9,
2020-01-12 19:30:00,5145,-9.8,-9.48,73.2,81.1,0.202649,97,101.9,
2020-01-12 20:00:00,5146,-9.8,-9.44,73.4,82.4,0.2026505,96.9,101.9,
2020-01-12 20:30:00,5147,-10.3,-10.16,75,84.3,0.2026524,96.9,101.9,
2020-01-12 21:00:00,5148,-11,-10.91,77.6,87.2,0.2026516,97,101.9,
2020-01-12 21:30:00,5149,-11.1,-10.93,77.3,86.5,0.1351091,97,101.9,
2020-01-12 22:00:00,5150,-11.3,-10.98,80.5,89.1,0.2026746,96.9,101.9,
2020-01-12 22:30:00,5151,-10,-9.53,75.2,83.8,0.2026934,96.9,101.9,
2020-01-12 23:00:00,5152,-9.5,-9,70.6,78.97,0.2026916,96.9,101.9,
2020-01-12 23:30:00,5153,-9.3,-8.9,70.9,79.87,0.2026703,96.9,101.9,
2020-01-13 00:00:00,5154,-9.3,-8.92,70.8,80.6,0.1351031,96.9,101.9,
2020-01-13 00:30:00,5155,-9.3,-8.96,73.1,81.2,0.2026481,96.9,101.9,
2020-01-13 01:00:00,5156,-9.2,-8.95,71.1,80.8,0.2026524,96.9,101.8,
2020-01-13 01:30:00,5157,-9.3,-9,71.3,80.5,0.2026492,96.8,101.8,
2020-01-13 02:00:00,5158,-9.4,-9.1,74.3,84.4,0.2026383,96.8,101.8,
2020-01-13 02:30:00,5159,-9.5,-9.13,73.7,82.4,0.2701773,96.8,101.8,
2020-01-13 03:00:00,5160,-9.5,-9.24,76.4,84.5,0.2026481,96.9,101.8,
2020-01-13 03:30:00,5161,-9.5,-9.24,75.3,84.5,0.2701841,96.9,101.8,
2020-01-13 04:00:00,5162,-9.8,-9.65,76.3,86.6,0.202649,96.9,101.9,
2020-01-13 04:30:00,5163,-10.5,-10.38,77.8,88,0.2701902,96.9,101.9,
2020-01-13 05:00:00,5164,-10.5,-10.4,80.4,89.5,0.2026465,96.9,101.8,
2020-01-13 05:30:00,5165,-10.3,-10.13,78.9,88.2,0.2026538,96.9,101.8,
2020-01-13 06:00:00,5166,-10.3,-9.9,77.8,86.8,0.202647,96.8,101.8,
2020-01-13 06:30:00,5167,-10.2,-9.87,79.4,88.5,0.2026594,96.9,101.9,
2020-01-13 07:00:00,5168,-10.1,-9.81,79.2,88.9,0.2026599,96.9,101.9,
2020-01-13 07:30:00,5169,-10.1,-9.77,80.2,88.4,0.2026569,96.9,101.9,
2020-01-13 08:00:00,5170,-10,-9.67,81.2,89.5,1.891407,96.9,101.9,
2020-01-13 08:30:00,5171,-9.9,-9.48,81.9,90.1,7.498547,96.9,101.9,
2020-01-13 09:00:00,5172,-9.5,-9.15,81.4,89.7,18.03561,97,101.9,
2020-01-13 09:30:00,5173,-9.3,-8.79,82.1,89.5,27.89892,97,101.9,
2020-01-13 10:00:00,5174,-8.8,-8.33,81.6,88.9,44.10814,96.9,101.9,
2020-01-13 10:30:00,5175,-8.3,-7.79,80.6,87.6,105.7023,96.9,101.9,
2020-01-13 11:00:00,0,-7.6,-7.008,79.6,87,125.4655,96.8,101.8,11.9
2020-01-13 11:30:00,1,-6.9,-6.368,77.9,85.1,147.3388,96.8,101.8,11.93
2020-01-13 12:00:00,2,-6.1,-5.568,76.1,83.7,155.7748,96.8,101.8,11.93
2020-01-13 12:30:00,3,-5.7,-5.284,75,83.4,140.827,96.7,101.7,11.95
2020-01-13 13:00:00,4,-5.3,-4.878,75.5,83.5,169.4857,96.7,101.7,12
2020-01-13 13:30:00,5,-5.3,-5,76.5,84.4,123.4596,96.6,101.6,11.96
2020-01-13 14:00:00,6,-5.5,-5.091,75.9,84.6,118.1222,96.6,101.6,11.96
2020-01-13 14:30:00,7,-5.4,-4.97,77,84.5,95.85516,96.6,101.6,11.93
2020-01-13 15:00:00,8,-5.4,-5.03,77.6,85.9,54.0674,96.6,101.5,11.91
2020-01-13 15:30:00,9,-5.7,-5.416,79.4,86.9,44.552,96.6,101.6,11.89
2020-01-13 16:00:00,10,-5.9,-5.608,80,88.2,17.07808,96.6,101.6,11.86
2020-01-13 16:30:00,11,-6,-5.689,81.6,89,6.075014,96.6,101.6,11.82
2020-01-13 17:00:00,12,-6.2,-5.75,81.7,89.4,0.5400078,96.6,101.6,11.84
2020-01-13 17:30:00,13,-6,-5.812,82.1,90.3,0.2025085,96.6,101.6,11.82
2020-01-13 18:00:00,14,-6.3,-5.984,83,90.6,0.2025191,96.5,101.5,11.79
2020-01-13 18:30:00,15,-6.3,-5.984,84.1,90.7,0.2025269,96.5,101.5,11.82
2020-01-13 19:00:00,16,-6.2,-5.832,84,90.7,0.2025424,96.5,101.5,11.81
2020-01-13 19:30:00,17,-6.1,-5.791,86.3,93.1,0.2025341,96.5,101.5,11.77
2020-01-13 20:00:00,18,-6.1,-5.842,89,95.3,0.2025432,96.4,101.4,11.8
2020-01-13 20:30:00,19,-6.1,-5.73,88.5,94.7,0.1350277,96.4,101.4,11.8
2020-01-13 21:00:00,20,-6.1,-5.608,86.6,93.2,0.2025292,96.4,101.3,11.79
2020-01-13 21:30:00,21,-6,-5.65,87.4,93.8,0.2025276,96.3,101.3,11.79
2020-01-13 22:00:00,22,-5.9,-5.65,88.1,94.9,0.2025248,96.3,101.2,11.79
2020-01-13 22:30:00,23,-5.9,-5.548,87.9,94.2,0.1350245,96.2,101.2,11.78
2020-01-13 23:00:00,24,-5.9,-5.578,90,96.1,0.2025259,96.2,101.1,11.79
2020-01-13 23:30:00,25,-5.9,-5.578,91.7,97.7,0.2025182,96.2,101.2,11.79
2020-01-14 00:00:00,26,-5.9,-5.608,91.3,97.5,0.2025129,96.2,101.2,11.79
2020-01-14 00:30:00,27,-6,-5.66,91.6,97.6,0.2025091,96.1,101.1,11.79
2020-01-14 01:00:00,28,-6,-5.588,91.8,97.7,0.2025101,96.1,101,11.79
2020-01-14 01:30:00,29,-5.9,-5.516,92.1,97.9,0.2025128,96,101,11.79
2020-01-14 02:00:00,30,-5.8,-5.446,92.4,98,0.2025145,96,101,11.79
2020-01-14 02:30:00,31,-5.8,-5.507,92.1,98.1,0.2025104,96,101,11.79
2020-01-14 03:00:00,32,-5.8,-5.466,91.8,98,0.2025069,95.9,100.9,11.79
2020-01-14 03:30:00,33,-5.6,-5.365,92.1,98.3,0.2025158,95.9,100.9,11.79
2020-01-14 04:00:00,34,-5.6,-5.314,92.5,98.5,0.2025037,95.9,100.9,11.79
2020-01-14 04:30:00,35,-5.8,-5.487,91.7,98.4,0.2025045,95.9,100.9,11.79
2020-01-14 05:00:00,36,-5.7,-5.396,92.2,98.4,0.2025102,95.9,100.9,11.79
2020-01-14 05:30:00,37,-5.7,-5.456,92.6,99,0.1350059,95.9,100.9,11.79
2020-01-14 06:00:00,38,-5.3,-4.98,93.7,99.3,0.2025073,95.9,100.9,11.78
2020-01-14 06:30:00,39,-5,-4.665,92.7,98.1,0.135004,95.9,100.9,11.79
2020-01-14 07:00:00,40,-5,-4.726,91.9,97.4,0.2025034,95.9,100.9,11.79
2020-01-14 07:30:00,41,-5.2,-4.878,91,97,0.2025046,96,100.9,11.79
2020-01-14 08:00:00,42,-5.4,-5.04,91,97.2,0.8775188,96,101,11.78
2020-01-14 08:30:00,43,-5.4,-5.091,90.8,96.9,4.455065,96,101,11.78
2020-01-14 09:00:00,44,-5.4,-5.081,90.5,96.2,6.615147,96,101,11.78
2020-01-14 09:30:00,45,-5.5,-5.081,90.4,96.4,7.627605,96.1,101.1,11.76
2020-01-14 10:00:00,46,-5.4,-5.071,90.6,96.7,9.990445,96.1,101.1,11.79
2020-01-14 10:30:00,47,-5.4,-5,90.1,96.1,19.10394,96.2,101.1,11.82
2020-01-14 11:00:00,48,-5.2,-4.798,90,95.6,26.05548,96.2,101.2,11.82
2020-01-14 11:30:00,49,-5,-4.594,88.1,94.2,31.65708,96.2,101.2,11.84
