"TOA5","S3_fenwell","CR1000X","4723","CR1000X.Std.03.02","CPU:2019.11_S3BogWell.cr1x","39341","S3FW_Daily"
TIMESTAMP,RECORD,MinWTElev,MaxWTElev,MinWTElev_m,MaxWTElev_m,MinAirT,MaxAirT,PAR_Tot_Tot
TS,RN,ft ASL,ft ASL,m ASL,m ASL,Deg C,Deg C,mmol/mÂ²
,,Smp,Smp,Smp,Smp,Smp,Smp,Tot
2021-02-08 23:59:55,39,1357.197,1357.197,413.67,413.67,NAN,NAN,0
2021-02-09 23:59:55,40,1357.197,1357.2,413.67,413.67,NAN,NAN,0
2021-02-10 23:59:55,41,1357.197,1357.2,413.67,413.67,NAN,NAN,0
2021-02-11 23:59:55,42,1357.197,1357.2,413.67,413.67,NAN,NAN,0
2021-02-12 23:59:55,43,1357.2,1357.2,413.67,413.67,NAN,NAN,0
2021-02-13 23:59:55,44,1357.2,1357.2,413.67,413.67,NAN,NAN,0
2021-02-14 23:59:55,45,1357.197,1357.2,413.67,413.67,NAN,NAN,0
2021-02-15 23:59:55,46,1357.197,1357.197,413.67,413.67,NAN,NAN,0
2021-02-16 23:59:55,47,1357.197,1357.197,413.67,413.67,NAN,NAN,0
2021-02-17 23:59:55,48,1357.191,1357.197,413.67,413.67,NAN,NAN,0
2021-02-18 23:59:55,49,1357.194,1357.203,413.67,413.68,NAN,NAN,0
2021-02-19 23:59:55,50,1357.203,1357.212,413.68,413.68,NAN,NAN,0
2021-02-20 23:59:55,51,1357.212,1357.222,413.68,413.68,NAN,NAN,0
2021-02-21 23:59:55,52,1357.219,1357.234,413.68,413.68,NAN,NAN,0
2021-02-22 23:59:55,53,1357.234,1357.256,413.68,413.69,NAN,NAN,0
2021-02-23 23:59:55,54,1357.256,1357.283,413.69,413.7,NAN,NAN,0
2021-02-24 23:59:55,55,1357.28,1357.283,413.7,413.7,NAN,NAN,0
2021-02-25 23:59:55,56,1357.283,1357.292,413.7,413.7,NAN,NAN,0
2021-02-26 23:59:55,57,1357.292,1357.299,413.7,413.7,NAN,NAN,0
2021-02-27 23:59:55,58,1357.299,1357.299,413.7,413.7,NAN,NAN,0
2021-02-28 23:59:55,59,1357.299,1357.305,413.7,413.71,NAN,NAN,0
2021-03-01 23:59:55,60,1357.305,1357.311,413.71,413.71,NAN,NAN,0
2021-03-02 23:59:55,61,1357.311,1357.323,413.71,413.71,NAN,NAN,0
2021-03-03 23:59:55,62,1357.323,1357.323,413.71,413.71,NAN,NAN,0
2021-03-04 23:59:55,63,1357.323,1357.332,413.71,413.71,NAN,NAN,0
