"TOA5","S6_Weir","CR1000X","4737","CR1000X.Std.03.02","CPU:2019.08_S6Weir.CR1x","42030","S6ShelterT"
TIMESTAMP,RECORD,Batt_Volt,GageHouseT,WeirCoverT
TS,RN,V DC,Deg C,Deg C
,,Smp,Smp,Smp
2021-05-12 11:00:00,285,14.15,20,20
2021-05-12 11:30:00,286,13.96,22.1,22.1
2021-05-12 12:00:00,287,13.59,23.3,23.3
2021-05-12 12:30:00,288,13.5,24.4,24.4
2021-05-12 13:00:00,289,13.11,25,25
2021-05-12 13:30:00,290,13.44,25.3,25.3
2021-05-12 14:00:00,291,13.41,27,27
2021-05-12 14:30:00,292,13.31,26.4,26.4
2021-05-12 15:00:00,293,13.16,25.6,25.6
2021-05-12 15:30:00,294,13.25,26.4,26.4
2021-05-12 16:00:00,295,13.07,25.3,25.3
2021-05-12 16:30:00,296,13.07,22.1,22.1
2021-05-12 17:00:00,297,13.01,20.7,20.7
2021-05-12 17:30:00,298,12.97,20.5,20.5
2021-05-12 18:00:00,299,12.95,18.8,18.8
2021-05-12 18:30:00,300,12.94,17.6,17.6
2021-05-12 19:00:00,301,12.93,16.8,16.8
2021-05-12 19:30:00,302,12.92,15.8,15.8
2021-05-12 20:00:00,303,12.91,14.3,14.3
2021-05-12 20:30:00,304,12.9,13,13
2021-05-12 21:00:00,305,12.9,11.8,11.8
2021-05-12 21:30:00,306,12.89,10.6,10.6
2021-05-12 22:00:00,307,12.88,9.5,9.5
2021-05-12 22:30:00,308,12.88,8.5,8.5
2021-05-12 23:00:00,309,12.87,7.7,7.7
2021-05-12 23:30:00,310,12.87,7.1,7.1
2021-05-13 00:00:00,311,12.86,6.6,6.6
2021-05-13 00:30:00,312,12.86,6.7,6.7
2021-05-13 01:00:00,313,12.86,7,7
2021-05-13 01:30:00,314,12.85,7.3,7.3
2021-05-13 02:00:00,315,12.85,7.5,7.5
2021-05-13 02:30:00,316,12.85,7.7,7.7
2021-05-13 03:00:00,317,12.84,7.8,7.8
2021-05-13 03:30:00,318,12.84,7.8,7.8
2021-05-13 04:00:00,319,12.84,7.7,7.7
2021-05-13 04:30:00,320,12.84,7.6,7.6
2021-05-13 05:00:00,321,12.84,7.5,7.5
2021-05-13 05:30:00,322,12.83,7.7,7.7
2021-05-13 06:00:00,323,12.84,7.9,7.9
2021-05-13 06:30:00,324,12.84,8.2,8.2
2021-05-13 07:00:00,325,12.86,8.9,8.9
2021-05-13 07:30:00,326,12.87,10,10
2021-05-13 08:00:00,327,12.89,11.4,11.4
2021-05-13 08:30:00,328,12.9,12.5,12.5
2021-05-13 09:00:00,329,12.95,13.8,13.8
2021-05-13 09:30:00,330,13.08,15.2,15.2
2021-05-13 10:00:00,331,13.12,17.2,17.2
2021-05-13 10:30:00,332,13.36,19.2,19.2
2021-05-13 11:00:00,333,13.03,18.7,18.7
2021-05-13 11:30:00,334,13.04,18.9,18.9
2021-05-13 12:00:00,335,13.09,19.7,19.7
2021-05-13 12:30:00,336,13.1,19.4,19.4
2021-05-13 13:00:00,337,13.12,22.4,22.4
2021-05-13 13:30:00,338,13.48,21.5,21.5
2021-05-13 14:00:00,339,13.55,24.5,24.5
2021-05-13 14:30:00,340,13.15,24.8,24.8
2021-05-13 15:00:00,341,13.2,24.5,24.5
2021-05-13 15:30:00,342,13.3,27.2,27.2
2021-05-13 16:00:00,343,13.14,26.2,26.2
2021-05-13 16:30:00,344,13.04,22.7,22.7
2021-05-13 17:00:00,345,13,21,21
2021-05-13 17:30:00,346,12.99,20.1,20.1
2021-05-13 18:00:00,347,12.97,19.6,19.6
2021-05-13 18:30:00,348,12.95,18.7,18.7
2021-05-13 19:00:00,349,12.94,18,18
2021-05-13 19:30:00,350,12.92,17,17
2021-05-13 20:00:00,351,12.92,16.1,16.1
2021-05-13 20:30:00,352,12.91,15.4,15.4
2021-05-13 21:00:00,353,12.9,14.6,14.6
2021-05-13 21:30:00,354,12.9,13.6,13.6
2021-05-13 22:00:00,355,12.89,13,13
2021-05-13 22:30:00,356,12.89,12.5,12.5
2021-05-13 23:00:00,357,12.88,11.8,11.8
2021-05-13 23:30:00,358,12.88,11.3,11.3
2021-05-14 00:00:00,359,12.87,11,11
2021-05-14 00:30:00,360,12.87,10.8,10.8
2021-05-14 01:00:00,361,12.86,10.7,10.7
2021-05-14 01:30:00,362,12.86,10.6,10.6
2021-05-14 02:00:00,363,12.86,10.3,10.3
2021-05-14 02:30:00,364,12.85,10.2,10.2
2021-05-14 03:00:00,365,12.85,10,10
2021-05-14 03:30:00,366,12.85,9.8,9.8
2021-05-14 04:00:00,367,12.85,9.4,9.4
2021-05-14 04:30:00,368,12.84,8.7,8.7
2021-05-14 05:00:00,369,12.84,8,8
2021-05-14 05:30:00,370,12.84,7.5,7.5
2021-05-14 06:00:00,371,12.84,7.3,7.3
2021-05-14 06:30:00,372,12.84,7.7,7.7
2021-05-14 07:00:00,373,12.85,8.5,8.5
2021-05-14 07:30:00,374,12.86,9.8,9.8
2021-05-14 08:00:00,375,12.88,11.6,11.6
2021-05-14 08:30:00,376,12.92,13.3,13.3
2021-05-14 09:00:00,377,12.93,14.5,14.5
2021-05-14 09:30:00,378,12.94,14.6,14.6
2021-05-14 10:00:00,379,13.16,16.4,16.4
2021-05-14 10:30:00,380,13.41,18.9,18.9
2021-05-14 11:00:00,381,13.16,20.3,20.3
2021-05-14 11:30:00,382,13.25,21.2,21.2
2021-05-14 12:00:00,383,13.21,22.5,22.5
2021-05-14 12:30:00,384,13.24,22,22
2021-05-14 13:00:00,385,13.31,21.2,21.2
2021-05-14 13:30:00,386,13.52,23,23
2021-05-14 14:00:00,387,13.28,21.4,21.4
2021-05-14 14:30:00,388,13.11,20.2,20.2
2021-05-14 15:00:00,389,13.08,18.7,18.7
