"TOA5","S4_bogwell","CR1000X","4732","CR1000X.Std.03.02","CPU:2021.05.04_S4BogWell.cr1x","12388","S4BWMet"
TIMESTAMP,RECORD,AirT,RH,PAR_Den,BP,BPnorm,Batt_volt
TS,RN,Deg C,%,Âµmol/s/mÂ²,kPa,kPa,V DC
,,Smp,Smp,Smp,Smp,Smp,Smp
2020-10-23 22:00:00,400,NAN,0,0,0,0,
2020-10-23 22:30:00,401,NAN,0,0,0,0,
2020-10-23 23:00:00,402,NAN,0,0,0,0,
2020-10-23 23:30:00,403,NAN,0,0,0,0,
2020-10-24 00:00:00,404,NAN,0,0,0,0,
2020-10-24 00:30:00,405,NAN,0,0,0,0,
2020-10-24 01:00:00,406,NAN,0,0,0,0,
2020-10-24 01:30:00,407,NAN,0,0,0,0,
2020-10-24 02:00:00,408,NAN,0,0,0,0,
2020-10-24 02:30:00,409,NAN,0,0,0,0,
2020-10-24 03:00:00,410,NAN,0,0,0,0,
2020-10-24 03:30:00,411,NAN,0,0,0,0,
2020-10-24 04:00:00,412,NAN,0,0,0,0,
2020-10-24 04:30:00,413,NAN,0,0,0,0,
2020-10-24 05:00:00,414,NAN,0,0,0,0,
2020-10-24 05:30:00,415,NAN,0,0,0,0,
2020-10-24 06:00:00,416,NAN,0,0,0,0,
2020-10-24 06:30:00,417,NAN,0,0,0,0,
2020-10-24 07:00:00,418,NAN,0,0,0,0,
2020-10-24 07:30:00,419,NAN,0,0,0,0,
2020-10-24 08:00:00,420,NAN,0,0,0,0,
2020-10-24 08:30:00,421,NAN,0,0,0,0,
2020-10-24 09:00:00,422,NAN,0,0,0,0,
2020-10-24 09:30:00,423,NAN,0,0,0,0,
2020-10-24 10:00:00,424,NAN,0,0,0,0,
2020-10-24 10:30:00,425,NAN,0,0,0,0,
2020-10-24 11:00:00,426,NAN,0,0,0,0,
2020-10-24 11:30:00,427,NAN,0,0,0,0,
2020-10-24 12:00:00,428,NAN,0,0,0,0,
2020-10-24 12:30:00,429,NAN,0,0,0,0,
2020-10-24 13:00:00,430,NAN,0,0,0,0,
2020-10-24 13:30:00,431,NAN,0,0,0,0,
2020-10-24 14:00:00,432,NAN,0,0,0,0,
2020-10-24 14:30:00,433,NAN,0,0,0,0,
2020-10-24 15:00:00,434,NAN,0,0,0,0,
2020-10-24 15:30:00,435,NAN,0,0,0,0,
2020-10-24 16:00:00,436,NAN,0,0,0,0,
2020-10-24 16:30:00,437,NAN,0,0,0,0,
2020-10-24 17:00:00,438,NAN,0,0,0,0,
2020-10-24 17:30:00,439,NAN,0,0,0,0,
2020-10-24 18:00:00,440,NAN,0,0,0,0,
2020-10-24 18:30:00,441,NAN,0,0,0,0,
2020-10-24 19:00:00,442,NAN,0,0,0,0,
